Log Date and Time Mon, 19 May 2008 23:23:20
Ambient Kiln Date Date2Num

(244, '79.02', '229.60', 'Mon, 19 May 2008 08:34:21', '733181.35718945693')
(245, '79.25', '229.15', 'Mon, 19 May 2008 08:34:24', '733181.35722406139')
(246, '79.25', '229.15', 'Mon, 19 May 2008 08:34:27', '733181.35725886130')
(247, '79.25', '229.86', 'Mon, 19 May 2008 08:34:30', '733181.35729365051')
(248, '79.25', '229.86', 'Mon, 19 May 2008 08:34:33', '733181.35732826567')
(249, '79.25', '229.86', 'Mon, 19 May 2008 08:34:36', '733181.35736305511')
(250, '79.25', '229.86', 'Mon, 19 May 2008 08:34:39', '733181.35739767028')
(251, '79.25', '229.86', 'Mon, 19 May 2008 08:34:42', '733181.35743245890')
(252, '79.25', '229.86', 'Mon, 19 May 2008 08:34:45', '733181.35746725940')
(253, '79.25', '229.86', 'Mon, 19 May 2008 08:34:48', '733181.35750187119')
(254, '79.25', '229.86', 'Mon, 19 May 2008 08:34:51', '733181.35753668915')
(255, '79.25', '229.86', 'Mon, 19 May 2008 08:34:54', '733181.35757131071')
(256, '79.25', '230.54', 'Mon, 19 May 2008 08:34:57', '733181.35760612797')
(257, '79.25', '230.54', 'Mon, 19 May 2008 08:35:00', '733181.35764074989')
(258, '79.25', '230.54', 'Mon, 19 May 2008 08:35:03', '733181.35767555539')
(259, '79.25', '230.54', 'Mon, 19 May 2008 08:35:06', '733181.35771018907')
(260, '79.25', '230.54', 'Mon, 19 May 2008 08:35:09', '733181.35774499492')
(261, '79.25', '231.22', 'Mon, 19 May 2008 08:35:12', '733181.35777962778')
(262, '79.25', '231.22', 'Mon, 19 May 2008 08:35:15', '733181.35781443375')
(263, '79.25', '231.22', 'Mon, 19 May 2008 08:35:18', '733181.35784906708')
(264, '79.25', '231.22', 'Mon, 19 May 2008 08:35:21', '733181.35788387328')
(265, '79.25', '231.22', 'Mon, 19 May 2008 08:35:24', '733181.35791850637')
(266, '79.25', '231.22', 'Mon, 19 May 2008 08:35:27', '733181.35795331199')
(267, '79.25', '230.54', 'Mon, 19 May 2008 08:35:30', '733181.35798794543')
(268, '79.25', '231.22', 'Mon, 19 May 2008 08:35:33', '733181.35802275070')
(269, '79.47', '230.76', 'Mon, 19 May 2008 08:35:36', '733181.35805756960')
(270, '79.47', '231.44', 'Mon, 19 May 2008 08:35:39', '733181.35809219000')
(271, '79.25', '231.22', 'Mon, 19 May 2008 08:35:42', '733181.35812700831')
(272, '79.25', '231.93', 'Mon, 19 May 2008 08:35:45', '733181.35816162906')
(273, '79.25', '231.22', 'Mon, 19 May 2008 08:35:48', '733181.35819644737')
(274, '79.47', '232.14', 'Mon, 19 May 2008 08:35:51', '733181.35823106836')
(275, '79.25', '231.93', 'Mon, 19 May 2008 08:35:54', '733181.35826588678')
(276, '79.25', '231.93', 'Mon, 19 May 2008 08:35:57', '733181.35830050719')
(277, '79.47', '232.14', 'Mon, 19 May 2008 08:36:00', '733181.35833532608')
(278, '79.47', '232.14', 'Mon, 19 May 2008 08:36:03', '733181.35836994636')
(279, '79.47', '232.84', 'Mon, 19 May 2008 08:36:06', '733181.35840476514')
(280, '79.25', '232.63', 'Mon, 19 May 2008 08:36:09', '733181.35843938589')
(281, '79.25', '232.63', 'Mon, 19 May 2008 08:36:12', '733181.35847420397')
(282, '79.47', '232.14', 'Mon, 19 May 2008 08:36:15', '733181.35850882041')
(283, '79.47', '232.84', 'Mon, 19 May 2008 08:36:18', '733181.35854363174')
(284, '79.47', '233.53', 'Mon, 19 May 2008 08:36:21', '733181.35857826425')
(285, '79.47', '233.53', 'Mon, 19 May 2008 08:36:24', '733181.35861307092')
(286, '79.47', '233.53', 'Mon, 19 May 2008 08:36:27', '733181.35864788759')
(287, '79.47', '233.53', 'Mon, 19 May 2008 08:36:30', '733181.35868250940')
(288, '79.47', '233.53', 'Mon, 19 May 2008 08:36:33', '733181.35871732677')
(289, '79.47', '233.53', 'Mon, 19 May 2008 08:36:36', '733181.35875194881')
(290, '79.47', '233.53', 'Mon, 19 May 2008 08:36:39', '733181.35878676618')
(291, '79.47', '233.53', 'Mon, 19 May 2008 08:36:42', '733181.35882138764')
(292, '79.47', '233.53', 'Mon, 19 May 2008 08:36:45', '733181.35885620513')
(293, '79.47', '233.53', 'Mon, 19 May 2008 08:36:48', '733181.35889082670')
(294, '79.47', '234.23', 'Mon, 19 May 2008 08:36:51', '733181.35892564454')
(295, '79.47', '234.23', 'Mon, 19 May 2008 08:36:54', '733181.35896026611')
(296, '79.47', '233.53', 'Mon, 19 May 2008 08:36:57', '733181.35899508337')
(297, '79.47', '234.23', 'Mon, 19 May 2008 08:37:00', '733181.35902970540')
(298, '79.47', '234.23', 'Mon, 19 May 2008 08:37:03', '733181.35906452243')
(299, '79.47', '234.23', 'Mon, 19 May 2008 08:37:06', '733181.35909914470')
(300, '79.47', '234.91', 'Mon, 19 May 2008 08:37:09', '733181.35913396196')
(301, '79.47', '234.23', 'Mon, 19 May 2008 08:37:12', '733181.35916913778')
(302, '79.47', '234.91', 'Mon, 19 May 2008 08:37:15', '733181.35920340056')
(303, '79.47', '234.23', 'Mon, 19 May 2008 08:37:18', '733181.35923820711')
(304, '79.47', '234.23', 'Mon, 19 May 2008 08:37:21', '733181.35927282821')
(305, '79.47', '234.91', 'Mon, 19 May 2008 08:37:24', '733181.35930764652')
(306, '79.47', '234.91', 'Mon, 19 May 2008 08:37:27', '733181.35934226704')
(307, '79.47', '234.91', 'Mon, 19 May 2008 08:37:30', '733181.35937708558')
(308, '79.47', '234.91', 'Mon, 19 May 2008 08:37:33', '733181.35941170610')
(309, '79.47', '234.91', 'Mon, 19 May 2008 08:37:36', '733181.35944652499')
(310, '79.47', '235.62', 'Mon, 19 May 2008 08:37:39', '733181.35948114551')
(311, '79.47', '235.62', 'Mon, 19 May 2008 08:37:42', '733181.35951596370')
(312, '79.47', '234.91', 'Mon, 19 May 2008 08:37:45', '733181.35955058446')
(313, '79.70', '235.85', 'Mon, 19 May 2008 08:37:48', '733181.35958540277')
(314, '79.47', '235.62', 'Mon, 19 May 2008 08:37:51', '733181.35962002398')
(315, '79.70', '235.85', 'Mon, 19 May 2008 08:37:54', '733181.35965484229')
(316, '79.70', '235.85', 'Mon, 19 May 2008 08:37:57', '733181.35968964733')
(317, '79.70', '235.85', 'Mon, 19 May 2008 08:38:00', '733181.35972428101')
